duration,joint_1,joint_2,joint_3
1.0,14.5932,10.2826,9.4857
0.5,14.5884,10.1278,9.5612
-1, 아령 1KG 잡기 직전
1.0,14.59,10.1789,9.4981
1.0,14.59,10.1862,9.4872
1.0,14.59,10.1496,9.5416
0.5,14.59,10.1496,9.5416
1.0,14.5884,10.0823,9.6286
1.0,14.5884,10.0823,9.6286
1.0,14.5884,10.1278,9.5612
1.0,14.5884,10.1278,9.5612
-1, 아령 2KG 잡기 직전
1.0,14.5884,10.1278,9.5612
1.0,14.5884,10.1278,9.5612
1.0,14.5884,10.1278,9.5612
1.0,14.5884,10.1278,9.5612
0.5,14.5884,10.1278,9.5612
1.0,14.5884,10.1278,9.5612
1.0,14.5884,10.1278,9.5612
1.0,14.5884,10.1278,9.5612
1.0,14.5884,10.1278,9.5612
1.0,14.5884,10.1278,9.5612
-1, 아령 3KG 잡기 직전
1.0,14.48597413548941,-9.999946989977284,21.51744698275209
1.5,1.8074173242070046,80.0,90.0
1.5,1.8074173242070046,80.0,90.0
1.5,1.8074173242070046,80.0,90.0
1.0,1.8074173242070046,80.0,90.0
0.5,1.8074173242070046,80.0,90.0
1.5,-8.655347585881868,80.0,90.0
1.0,-5.8308,2.3880,9.5282
1.0,-5.8308,2.3880,9.5282
-1, 아령 반대팔로 건네주기
2.0,14.5932,10.2826,9.4857
1.0,14.5932,10.2826,9.4857
1.0,14.5932,10.2826,9.4857
1.0,14.5932,10.2826,9.4857
1.0,14.5932,10.2826,9.4857
1.0,14.5932,10.2826,9.4857
1.0,14.5932,10.2826,9.4857
1.0,14.5932,10.2826,9.4857
