duration,joint_1,joint_2
1.0,-0.0013,0.1153
0.5,-0.0031,0.0591
-1, 아령 1KG 잡기 직전
1.0,-0.0009,0.1619
1.0,-0.0013,0.1724
1.0,-0.0013,0.1171
0.5,-0.0013,0.1171
1.0,-0.0026,-0.0016
1.0,-0.0026,-0.0016
1.0,-0.0031,0.0591
1.0,-0.0031,0.0591
-1, 아령 2KG 잡기 직전
1.0,-0.0031,0.0591
1.0,-0.0031,0.0591
1.0,-0.0031,0.0591
1.0,-0.0031,0.0591
0.5,-0.0031,0.0591
1.0,-0.0031,0.0591
1.0,-0.0031,0.0591
1.0,-0.0031,0.0591
1.0,-0.0031,0.0591
1.0,-0.0031,0.0591
1.0,-0.0013,0.1153
-1, 아령 3KG 잡기 직전
1.0,-0.0013,0.1153
1.5,-0.0013,0.1153
1.5,-0.0013,0.1153
1.5,-0.0013,0.1153
1.0,-0.0013,0.1153
1.5,-0.0013,0.1153
1.0,-0.0013,0.1153
1.0,-0.0013,0.1153
-1, 아령 반대팔로 건네주기
2.0,-0.0013,0.1153
1.0,-0.0013,0.1153
1.0,-0.0013,0.1153
1.0,-0.0013,0.1153
1.0,-0.0013,0.1153
1.0,-0.0013,0.1153
1.0,-0.0013,0.1153
1.0,-0.0013,0.1153
