duration,joint_1,joint_2,joint_3
1.0,-5.3952,1.342,4.3824
0.5,-5.3952,1.342,4.3824
-1, 아령 1KG 잡기 직전
1.0,-4.9738,0.0,11.9219
1.0,-15.6662,65.8822,58.3867
1.0,-1.1637,80.0,90.0
0.5,-1.1637,80.0,90.0
1.0,-1.1637,80.0,90.0
0.5,-1.1637,80.0,90.0
0.5,-1.1231,0.0,12.4776
1.0,-0.702084731369373,2.599460412963199,15.198989054989227
1.0,-1.1231,0.0,12.4776
-1, 아령 2KG 잡기 직전
1.0,-0.70857267126797,0.8664652208000213,13.053173793202333
1.0,3.6036046528281784,80.0,90.0
1.0,3.6036046528281784,80.0,90.0
1.0,3.6036046528281784,80.0,90.0
0.5,3.6036046528281784,80.0,90.0
1.0,3.6036046528281784,80.0,90.0
0.7,3.6036046528281784,80.0,90.0
0.6,-1.158239645227172,0.0,0.0
0.7,-1.158239645227172,0.0,0.0
1.0,-2.4461516657737215,0.0,0.0
1.0,4.614076529609504,30.63654628207609,0.0
1.0,-5.3952,1.342,4.3824
-1, 아령 3KG 잡기 직전
1.0,-8.8447617905608,23.14700927254326,2.9714554118892926
1.5,-9.062569702034587,23.925664746257585,0.0
1.5,-9.062569702034587,23.925664746257585,0.0
1.5,-9.062569702034587,23.925664746257585,0.0
1.0,-9.062569702034587,23.925664746257585,0.0
1.0,-2.3746151049679156,-4.039940045924413,13.559571460021761
1.0,-0.17187621306528528,19.24356775088925,13.60553317537524
2.0,2.695767778924017,80.0,90.0
-1, 아령 반대팔로 건네주기
1.0,2.695767778924017,80.0,90.0
1.2,2.695767778924017,80.0,90.0
0.4,2.695767778924017,80.0,90.0
0.2,2.695767778924017,80.0,90.0
1.0,2.695767778924017,80.0,90.0
1.0,2.695767778924017,80.0,90.0
1.0,2.695767778924017,80.0,90.0
1.0,2.695767778924017,80.0,90.0
1.0,2.695767778924017,80.0,90.0
1.0,2.695767778924017,80.0,90.0
