duration,joint_1,joint_2,joint_3
1.0,5.7255,24.9051,5.8554
0.5,5.7174,24.9063,5.8639
-1, 아령 1KG 잡기 직전
1.0,5.7239,24.9037,5.8607
1.0,5.7239,24.9051,5.8581
1.0,5.7222,24.9051,5.866
0.5,5.7222,24.9051,5.866
1.0,5.719,24.9063,5.8689
1.0,5.719,24.9063,5.8689
1.0,5.7174,24.9063,5.8639
1.0,5.7174,24.9063,5.8639
-1, 아령 2KG 잡기 직전
1.0,5.7174,24.9063,5.8639
1.0,5.7174,24.9063,5.8639
1.0,5.7174,24.9063,5.8639
1.0,5.7174,24.9063,5.8639
0.5,5.7174,24.9063,5.8639
1.0,5.7174,24.9063,5.8639
1.0,5.7174,24.9063,5.8639
1.0,5.7174,24.9063,5.8639
1.0,5.7174,24.9063,5.8639
1.0,5.7174,24.9063,5.8639
-1, 아령 3KG 잡기 직전
1.0,-2.7421344920311217,-3.4671671147136784,3.8280627222569517
1.5,-8.748277305337957,80.0,90.0
1.5,-8.748277305337957,80.0,90.0
1.5,-8.748277305337957,80.0,90.0
1.0,-8.748277305337957,80.0,90.0
0.5,-8.748277305337957,80.0,90.0
1.5,-20.653275742254646,80.0,90.0
1.0,-10.2584,-2.7618,21.6712
1.0,-10.2584,-2.7618,21.6712
-1, 아령 반대팔로 건네주기
2.0,5.7255,24.9051,5.855400000000001
1.0,5.7255,24.905099999999997,5.855400000000001
1.0,5.7255,24.9051,5.855400000000001
1.0,5.7255,24.9051,5.8554
1.0,5.7255,24.9051,5.855400000000001
1.0,5.7255,24.9051,5.8554
1.0,5.7255,24.9051,5.8554
1.0,5.7255,24.9051,5.8554
