duration,joint_1,joint_2,joint_3
1.0,-18.8073,0.0,10.0
0.5,-18.8073,0.0,10.0
-1, 아령 1KG 잡기 직전
1.0,-19.4316,0.0,26.5358
1.0,-16.5001,69.5438,49.162
1.0,-14.6423,80.0,90.0
0.5,-14.6423,80.0,90.0
1.0,-14.6423,80.0,90.0
0.5,-14.6423,80.0,90.0
0.5,-0.9211,7.5509,10.0824
1.0,-1.1977597935067097,8.153279567431149,9.946624058121532
1.0,-0.9211,7.5509,10.0824
-1, 아령 2KG 잡기 직전
1.0,-1.1977597935067097,8.162001927917313,9.79824300373354
1.0,-14.6423,80.0,90.0
1.0,-14.6423,80.0,90.0
1.0,-14.6423,80.0,90.0
0.5,-14.6423,80.0,90.0
1.0,-14.6423,80.0,90.0
0.7,-14.6423,80.0,90.0
0.6,-7.054438648459333,0.0,0.0
0.7,-7.054438648459333,0.0,0.0
1.0,-8.456393158694453,0.0,0.0
1.0,-5.589682066454362,12.329623591692535,20.30169652737607
1.0,-18.8073,0.0,37.678
-1, 아령 3KG 잡기 직전
1.0,-13.596267962853709,-3.564497776882397,31.070301440170038
1.5,-14.207757327664167,-3.7041272469194206,27.45767004114494
1.5,-14.207757327664167,-3.7041272469194206,27.45767004114494
1.5,-14.207757327664167,-3.7041272469194206,27.45767004114494
1.0,-14.207757327664167,-3.7041272469194206,27.45767004114494
1.0,-9.461922940738384,-9.999946989977284,39.12988508766363
1.0,-0.3039900329833991,19.133749776969598,31.0368456420772
2.0,-14.643177170670368,80.0,90.0
-1, 아령 반대팔로 건네주기
1.2,-14.643177170670368,80.0,90.0
0.4,-14.643177170670368,80.0,90.0
0.2,-14.643177170670368,80.0,90.0
