duration,joint_1,joint_2,joint_3
1.0,-8.8848,0.0,13.7316
0.5,-8.8848,0.0,13.7316
-1, 아령 1KG 잡기 직전
1.0,-7.4129,0.0,22.0492
1.0,-9.9672,77.4315,48.7247
1.0,-9.9523,80.0,90.0
0.5,-9.9523,80.0,90.0
1.0,-9.9523,80.0,90.0
0.5,-9.9523,80.0,90.0
0.5,-2.1552,0.0,34.5359
1.0,-2.051168920117047,1.3861070630002525,30.309999514785186
1.0,-2.1552,0.0,34.5359
-1, 아령 2KG 잡기 직전
1.0,-2.0739189351813936,0.8868008230702441,32.0722435926075
1.0,-6.254511407248832,80.0,90.0
1.0,-6.254511407248832,80.0,90.0
1.0,-6.254511407248832,80.0,90.0
0.5,-6.254511407248832,80.0,90.0
1.0,-6.254511407248832,80.0,90.0
0.7,-6.254511407248832,80.0,90.0
0.6,-5.536991524061772,0.0,0.0
0.7,-5.536991524061772,0.0,0.0
1.0,-4.790185674289507,0.0,0.0
1.0,-0.39721220380588235,26.862804637116824,13.491588212692454
1.0,-8.8848,0.0,13.7316
-1, 아령 3KG 잡기 직전
1.0,-7.688470389230371,16.899958629158935,13.461205229166326
1.5,-7.831307884873987,15.713218818369691,16.072631585812132
1.5,-7.831307884873987,15.713218818369691,16.072631585812132
1.5,-7.831307884873987,15.713218818369691,16.072631585812132
1.0,-7.831307884873987,15.713218818369691,16.072631585812132
1.0,-5.920766021661455,-5.264273393273309,42.04469181186622
1.0,-1.2488872663733817,20.862394022434795,33.934306191465815
2.0,-6.593383661512083,80.0,90.0
-1, 아령 반대팔로 건네주기
1.2,-6.593383661512083,80.0,90.0
0.4,-6.593383661512083,80.0,90.0
0.2,-6.593383661512083,80.0,90.0
